Date,adj_close,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,date,next_close,next_ret,sentiment_score,article_count,sent_1d,sent_3d_mean,sentiment_bin
2023-01-03,123.33065795898438,129.07957474592163,122.4431727057536,128.46820186736826,112117500,2023-01-03,124.60271453857422,0.010261367629481202,0.0,0.0,0.0,0.0,Medium
2023-01-04,124.60271453857422,126.87073149260826,123.3405166774151,125.12534263515172,89113600,2023-01-04,123.28133392333984,-0.01066138091290466,0.0,0.0,0.0,0.0,Medium
2023-01-05,123.28133392333984,125.99308946159266,123.02495518012978,125.36199059273537,80962700,2023-01-05,127.81735229492188,0.036133298455141794,0.0,0.0,0.0,0.0,Medium
2023-01-06,127.81735229492188,128.47803270861587,123.15313725839339,124.25756397513359,87754700,2023-01-06,128.3399658203125,0.004080416318793226,0.0,0.0,0.0,0.0,Medium
2023-01-09,128.3399658203125,131.55463782580617,128.08358712122987,128.65552272372005,70790800,2023-01-09,128.9119415283203,0.004446821455543311,0.0,0.0,0.0,0.0,Medium
2023-01-10,128.9119415283203,129.4345696464241,126.33823803970584,128.44847658636624,63896200,2023-01-10,131.633544921875,0.020892339575238537,0.0,0.0,0.0,0.0,Medium
2023-01-11,131.633544921875,131.6532559460779,128.64568467754964,129.4246914378982,69458900,2023-01-11,131.55465698242188,-0.0005994793174228277,0.0,0.0,0.0,0.0,Medium
2023-01-12,131.55465698242188,132.3928269168101,129.61205277186403,132.0181218476768,71379600,2023-01-12,132.88587951660156,0.010068303425555824,0.0,0.0,0.0,0.0,Medium
2023-01-13,132.88587951660156,133.04365799858422,129.82900042275443,130.19384999657817,57809700,2023-01-13,134.0494842529297,0.008718306111582636,0.0,0.0,0.0,0.0,Medium
2023-01-17,134.0494842529297,135.38070076927318,132.26465833803292,132.95492042575748,63646600,2023-01-17,133.3296356201172,-0.005384492045250319,0.0,0.0,0.0,0.0,Medium
2023-01-18,133.3296356201172,136.68234566241608,133.15213106325567,134.91724588612811,69672800,2023-01-18,133.3887939453125,0.00044360133839878627,0.0,0.0,0.0,0.0,Medium
2023-01-19,133.3887939453125,134.35516079708475,131.90965456039046,132.21534095915428,58280400,2023-01-19,135.95262145996094,0.019038326878041543,0.0,0.0,0.0,0.0,Medium
2023-01-20,135.95262145996094,136.1005444209002,132.35338844252215,133.3986444948596,80223600,2023-01-20,139.14756774902344,0.02322855505064442,0.0,0.0,0.0,0.0,Medium
2023-01-23,139.14756774902344,141.32683964763805,135.9822029643826,136.19914460303502,81760300,2023-01-23,140.54783630371094,0.01001289426565171,0.0,0.0,0.0,0.0,Medium
2023-01-24,140.54783630371094,141.1690797184196,138.34885309206118,138.35870860544603,66435100,2023-01-24,139.88714599609375,-0.004711905230855966,0.0,0.0,0.0,0.0,Medium
2023-01-25,139.88714599609375,140.44921115138996,136.87955949987148,138.93063463423644,65799300,2023-01-25,141.9579315185547,0.014694759288857032,0.0,0.0,0.0,0.0,Medium
2023-01-26,141.9579315185547,142.24389182095663,139.9265676340099,141.17890975078,54105100,2023-01-26,143.9005126953125,0.01359141994837094,0.0,0.0,0.0,0.0,Medium
2023-01-27,143.9005126953125,145.18243632337052,141.09015728986634,141.16904651814795,70555800,2023-01-27,141.01129150390625,-0.020282207985500296,0.0,0.0,0.0,0.0,Medium
2023-01-30,141.01129150390625,143.5258315295515,140.863383580403,142.94404030165967,64015300,2023-01-30,142.28335571289062,0.008980563317073977,0.0,0.0,0.0,0.0,Medium
2023-01-31,142.28335571289062,142.3326633733732,140.30131415280843,140.71547141700836,65874500,2023-01-31,143.40748596191406,0.007869598086729561,0.0,0.0,0.0,0.0,Medium
2023-02-01,143.40748596191406,144.57108343034756,139.35465851027638,141.96779872652098,77663600,2023-02-01,148.72254943847656,0.03639235564217123,0.0,0.0,0.0,0.0,Medium
2023-02-02,148.72254943847656,149.07752846410273,146.10939403157928,146.82923768896234,118339000,2023-02-02,152.35137939453125,0.02410707370068718,0.0,0.0,0.0,0.0,Medium
2023-02-03,152.35137939453125,155.19133225252133,145.7741404197881,145.97135602457382,154357300,2023-02-03,149.619873046875,-0.018091661566268867,0.0,0.0,0.0,0.0,Medium
2023-02-06,149.619873046875,150.97083056548323,148.68308779153134,150.44820252682044,69858300,2023-02-06,152.49929809570312,0.019062095445557658,0.0,0.0,0.0,0.0,Medium
2023-02-07,152.49929809570312,153.07123392254363,148.54507002072867,148.54507002072867,83322600,2023-02-07,149.80722045898438,-0.017810722803465538,0.0,0.0,0.0,0.0,Medium
2023-02-08,149.80722045898438,152.4302309897519,149.06765083879986,151.7399690202295,64120100,2023-02-08,148.77183532714844,-0.006935444814166991,0.0,0.0,0.0,0.0,Medium
2023-02-09,148.77183532714844,152.1837234806971,148.32809651858278,151.64136936063508,56007100,2023-02-09,149.1372528076172,0.002453215952703403,0.0,0.0,0.0,0.0,Medium
2023-02-10,149.1372528076172,149.46316214008027,147.3694580195322,147.60648709847575,57450700,2023-02-10,151.94204711914062,0.01863213747094915,0.0,0.0,0.0,0.0,Medium
2023-02-13,151.94204711914062,152.3469510828992,149.0483754519819,149.07800220373113,62199000,2023-02-13,151.3000946044922,-0.004233933120109803,0.0,0.0,0.0,0.0,Medium
2023-02-14,151.3000946044922,151.8630330104811,148.98911761787627,150.23348636384839,61707600,2023-02-14,153.40365600585938,0.013807475731726635,0.0,0.0,0.0,0.0,Medium
2023-02-15,153.40365600585938,153.57154591974012,150.98404302296422,151.21118642767874,65573800,2023-02-15,151.8037567138672,-0.010484109362389442,0.0,0.0,0.0,0.0,Medium
2023-02-16,151.8037567138672,154.3912596999377,151.44822068703985,151.6062249781976,68167900,2023-02-16,150.65817260742188,-0.007575099365499881,0.0,0.0,0.0,0.0,Medium
2023-02-17,150.65817260742188,151.10258897284194,148.97925796607987,150.46065589718617,59144100,2023-02-17,146.6386260986328,-0.027042278800751305,0.0,0.0,0.0,0.0,Medium
2023-02-21,146.6386260986328,149.4236611977066,146.56950203742764,148.33729678255915,58867200,2023-02-21,147.06329345703125,0.0028918275712112047,0.0,0.0,0.0,0.0,Medium
