,0
PC1,0.24680445494898104
PC2,0.22167660415960666
PC3,0.10955407039372492
PC4,0.05271340918220646
PC5,0.04054707931110224
PC6,0.033331810152287866
PC7,0.030690300733277644
PC8,0.028540857867416884
PC9,0.025134316729666473
PC10,0.022854121859624685
