Model,Primary_Metric,MSE,RMSE,MAE,R2,Accuracy,Precision,Recall,F1_Score,AUC
Random Forest (Regression),R² = -0.1362,0.0005532147538509157,0.02259830211858253,0.017487831434350096,-0.13621897334548297,,,,,
SVM (Classification),F1 = 0.635,,,,,0.5384615384615384,0.6403508771929824,0.6293103448275862,0.6347826086956522,0.5352446882619296
