model,test_accuracy,test_f1,test_auc,test_precision,test_recall,train_time
Decision Tree,0.443073,0.489209,0.464888,0.554561,0.47922,0.006999
Logistic Regression,0.441701,0.366735,0.542347,0.688778,0.334556,0.002666
