Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio,Unhedged_Daily_TC,Unhedged_Cumulative_TC,Unhedged_Portfolio_Value_Net,Unhedged_Portfolio_Return_Net,Hedged_Equity_Daily_TC,Hedged_SPY_Daily_TC,Hedged_Daily_TC,Hedged_Cumulative_TC,Hedged_Portfolio_Value_Net,Hedged_Portfolio_Return_Net
2020-08-07,100000.0,100000.0,294.51219632008264,50.0,50.0,99950.0,,50.0,29.999999999999996,80.0,80.0,99920.0,
2020-08-10,100613.15061993514,100272.82672103916,295.434967415459,0.0,50.0,100563.15061993514,0.0061345734860944745,0.0,30.081848016311746,30.081848016311746,110.08184801631174,100162.74487302285,0.0024293922440237203
2020-08-11,100361.1303102784,100781.07427960324,297.1478132882853,0.0,50.0,100311.1303102784,-0.002506090034999242,0.0,30.23432228388097,30.23432228388097,140.3161703001927,100640.75810930305,0.004772365582494498
2020-08-12,101124.06652962722,100258.02331644658,295.28964095414267,0.0,50.0,101074.06652962722,0.007605698559959739,0.0,30.07740699493397,30.07740699493397,170.39357729512668,100087.62973915145,-0.00549606720520579
2020-08-13,100898.6815860835,100200.86363544669,295.1651179752058,0.0,50.0,100848.6815860835,-0.0022298988383696594,0.0,30.060259090634002,30.060259090634002,200.45383638576067,100000.40979906093,-0.0008714357640183801
2020-08-14,100975.579737375,100274.5105473164,295.3813352868794,0.0,50.0,100925.579737375,0.0007625102290091945,0.0,30.082353164194917,30.082353164194917,230.5361895499556,100043.97435776645,0.0004356438017909525
2020-08-17,100942.1276128622,99949.04332452136,294.3484462051924,0.0,50.0,100892.1276128622,-0.00033145337980566847,0.0,29.984712997356407,29.984712997356407,260.520902547312,99688.52242197405,-0.003552956967915688
2020-08-18,100909.4185199992,99718.55933931458,293.61877694800756,0.0,50.0,100859.4185199992,-0.000324198662838171,0.0,29.91556780179437,29.91556780179437,290.4364703491064,99428.12286896548,-0.0026121317347479467
2020-08-19,100575.2555585871,99769.2463528965,293.86994970645713,0.0,50.0,100525.2555585871,-0.0033131557400942757,0.0,29.930773905868946,29.930773905868946,320.36724425497533,99448.87910864153,0.0002087562258759057
2020-08-20,100282.16242537965,99326.12022337664,156.18846779249876,0.0,50.0,100232.16242537965,-0.0029156168922807035,0.0,29.797836067012987,29.797836067012987,350.16508032198834,98975.95514305466,-0.00475544792284921
2020-08-21,100192.59285901445,99070.150162902,150.45362586138688,0.0,50.0,100142.59285901445,-0.0008936210114381948,0.0,29.7210450488706,29.7210450488706,379.88612537085896,98690.26403753115,-0.002886469800777225
2020-08-24,101338.00212267772,99585.8944530956,195.01198657140267,0.0,50.0,101288.00212267772,0.011437783174596206,0.0,29.87576833592868,29.87576833592868,409.76189370678765,99176.13255938882,0.004923165690112086
2020-08-25,101578.57198182787,99557.25441495312,241.11183796409549,0.0,50.0,101528.57198182787,0.002375107160853984,0.0,29.867176324485932,29.867176324485932,439.62907003127356,99117.62534492185,-0.0005899324056817257
2020-08-26,101629.8723293185,98970.18419590074,200.5305682179702,0.0,50.0,101579.8723293185,0.0005052799078058001,0.0,29.69105525877022,29.69105525877022,469.3201252900438,98500.8640706107,-0.00622251867076995
2020-08-27,102089.04174027662,99284.12404689264,193.7494392996037,0.0,50.0,102039.04174027662,0.004520279465104027,0.0,29.785237214067788,29.785237214067788,499.10536250411155,98785.01868438853,0.0028847931077451427
2020-08-28,102695.60484746296,99423.42841916184,221.03949574568855,0.0,50.0,102645.60484746296,0.0059444218295410245,0.0,29.82702852574855,29.82702852574855,528.9323910298601,98894.49602813198,0.0011082383260281325
2020-08-31,102193.28268014712,99204.54132907922,233.284778676443,0.0,50.0,102143.28268014712,-0.004893752324440226,0.0,29.761362398723765,29.761362398723765,558.6937534285839,98645.84757565064,-0.0025142799899663393
2020-09-01,102795.82898135952,99098.0646916121,231.68198143508243,0.0,50.0,102745.82898135952,0.005899030121238713,0.0,29.72941940748363,29.72941940748363,588.4231728360676,98509.64151877604,-0.0013807581385535395
2020-09-02,104380.91913602446,99218.629549783,307.7486389831285,0.0,50.0,104330.91913602446,0.015427294425280458,0.0,29.765588864934898,29.765588864934898,618.1887617010025,98600.44078808199,0.0009217297708736805
2020-09-03,101609.0603122028,99268.67347609613,248.42905264678032,0.0,50.0,101559.0603122028,-0.02656795173258053,0.0,29.780602042828836,29.780602042828836,647.9693637438313,98620.7041123523,0.0002055094694135562
2020-09-04,101305.48075273416,99597.7921238152,245.18326096521747,0.0,50.0,101255.48075273416,-0.002989192284129083,0.0,29.87933763714456,29.87933763714456,677.8487013809759,98919.94342243423,0.003034244307777767
2020-09-08,98935.22751898436,99396.66713689631,249.4937753482079,0.0,50.0,98885.22751898436,-0.023408641350861292,0.0,29.81900014106889,29.81900014106889,707.6677015220447,98688.99943537427,-0.0023346554705729883
2020-09-09,100471.99109786248,99400.60682714888,249.15116344425897,0.0,50.0,100421.99109786248,0.015540881256334016,0.0,29.82018204814466,29.82018204814466,737.4878835701893,98663.11894357868,-0.0002622429241724289
2020-09-10,98904.2253613651,99278.55454745192,263.39212005788596,0.0,50.0,98854.2253613651,-0.015611777055581144,0.0,29.783566364235572,29.783566364235572,767.2714499344248,98511.28309751749,-0.0015389321530370204
2020-09-11,99035.20012236176,99368.37192617689,262.3072085989804,0.0,50.0,98985.20012236176,0.0013249283024359126,0.0,29.810511577853063,29.810511577853063,797.0819615122779,98571.28996466461,0.0006091369969034588
2020-09-14,100367.32749467812,99612.05373690811,265.94669716832306,0.0,50.0,100317.32749467812,0.013457843906661049,0.0,29.883616121072432,29.883616121072432,826.9655776333503,98785.08815927476,0.0021689702416067824
2020-09-15,100514.4818367736,99342.39624568573,262.12508018637806,0.0,50.0,100464.4818367736,0.0014668885801736309,0.0,29.802718873705714,29.802718873705714,856.768296507056,98485.62794917867,-0.003031431318998856
2020-09-16,100850.64681737566,100004.40698658106,267.37710031967407,0.0,50.0,100800.64681737566,0.0033461077433141195,0.0,30.001322095974317,30.001322095974317,886.7696186030303,99117.63736797802,0.0064172756163516365
2020-09-17,100217.79284414584,100099.42390267384,263.28553127296544,0.0,50.0,100167.79284414584,-0.006278272939819418,0.0,30.029827170802147,30.029827170802147,916.7994457738324,99182.6244569,0.0006556561541182226
2020-09-18,99360.7336927956,100203.4853098531,267.800120620325,0.0,50.0,99310.7336927956,-0.008556234763840265,0.0,30.061045592955928,30.061045592955928,946.8604913667883,99256.6248184863,0.0007461020717238753
2020-09-21,97704.35128761106,99505.17271235418,278.6259060990279,0.0,50.0,97654.35128761106,-0.01667878529936495,0.0,29.85155181370625,29.85155181370625,976.7120431804946,98528.46066917368,-0.00733617681080978
2020-09-22,98442.9672855236,99378.58364837096,276.470678863495,0.0,50.0,98392.9672855236,0.007563574875810497,0.0,29.813575094511286,29.813575094511286,1006.5256182750059,98372.05803009596,-0.001587385391139673
2020-09-23,96288.9179935348,99325.88973963924,293.91181160610444,0.0,50.0,96238.9179935348,-0.02189230949543408,0.0,29.79776692189177,29.79776692189177,1036.3233851968976,98289.56635444234,-0.0008385681595517447
2020-09-24,96205.81751785667,98999.9823001616,288.59055522012966,0.0,50.0,96155.81751785667,-0.0008634809847269942,0.0,29.699994690048477,29.699994690048477,1066.023379886946,97933.95892027466,-0.0036179570971482944
2020-09-25,97624.43013690312,99003.3925447877,289.06652207953823,0.0,50.0,97574.43013690312,0.014753268763826988,0.0,29.701017763436308,29.701017763436308,1095.7243976503823,97907.66814713732,-0.00026845410343045994
2020-09-28,99394.85137343557,99267.35667307362,296.30582463624995,0.0,50.0,99344.85137343557,0.018144315411818823,0.0,29.780207001922083,29.780207001922083,1125.5046046523044,98141.85206842131,0.0023918853927975547
2020-09-29,99002.63617795263,99384.98112719806,300.20229316186317,0.0,50.0,98952.63617795263,-0.003948017336183884,0.0,29.815494338159414,29.815494338159414,1155.3200989904637,98229.6610282076,0.0008947147209434902
2020-09-30,99793.32069638604,99456.16709531174,305.6581561382499,0.0,50.0,99743.32069638604,0.007990535158775014,0.0,29.83685012859352,29.83685012859352,1185.1569491190573,98271.01014619268,0.0004209433031965304
