Date,Signal_Weighted_Value,Equal_Weight_Value,Signal_Weighted_Returns,Equal_Weight_Returns,Signal_Weighted_Cumulative_Return,Equal_Weight_Cumulative_Return
2020-08-07,100000.0,,0.0,,0.0,
2020-08-10,100639.51096566473,100639.51096566473,0.0063951096566472205,0.006395109656647221,0.6395109656647247,0.6395109656647247
2020-08-11,100404.73577471967,100404.73577471967,-0.0023328331854192445,-0.002332833185419244,0.4047357747196667,0.4047357747196667
2020-08-12,101184.3028765865,101184.3028765865,0.00776424633610863,0.007764246336108629,1.1843028765865071,1.1843028765865071
2020-08-13,100976.13747720767,100976.13747720767,-0.002057289455586248,-0.0020572894555862475,0.9761374772076614,0.9761374772076614
2020-08-14,101058.76566292942,101058.76566292942,0.0008182941810427025,0.0008182941810427024,1.0587656629294173,1.0587656629294173
2020-08-17,101040.72579108017,101040.72579108017,-0.00017850872936072142,-0.00017850872936072125,1.040725791080166,1.040725791080166
2020-08-18,101014.08098946982,101014.08098946982,-0.0002637035848835411,-0.0002637035848835412,1.0140809894698233,1.0140809894698233
2020-08-19,100683.84124914347,100683.84124914347,-0.0032692446151221964,-0.0032692446151221955,0.6838412491434687,0.6838412491434687
2020-08-20,100404.62564397824,100404.62564397824,-0.002773191822055122,-0.002773191822055121,0.4046256439782514,0.4046256439782514
2020-08-21,100321.82750475954,100321.82750475954,-0.0008246446683873023,-0.0008246446683873021,0.3218275047595309,0.3218275047595309
2020-08-24,101495.82882504624,101495.82882504624,0.011702351816019628,0.011702351816019625,1.4958288250462415,1.4958288250462415
2020-08-25,101744.2142363927,101744.2142363927,0.002447247480235025,0.002447247480235024,1.744214236392705,1.744214236392705
2020-08-26,101810.15763303076,101810.15763303076,0.0006481292045250358,0.0006481292045250364,1.8101576330307623,1.8101576330307623
2020-08-27,102286.09360848153,102286.09360848153,0.004674739598835158,0.004674739598835158,2.286093608481532,2.286093608481532
2020-08-28,102903.76362194537,102903.76362194537,0.006038650921875009,0.006038650921875008,2.9037636219453766,2.9037636219453766
2020-08-31,102414.40765694625,102414.40765694625,-0.004755471984454943,-0.004755471984454942,2.414407656946249,2.414407656946249
2020-09-01,103043.21102406202,103043.21102406202,0.006139794014354459,0.006139794014354457,3.0432110240620203,3.0432110240620203
2020-09-02,104658.59243918634,104658.59243918634,0.015676737934215753,0.015676737934215753,4.658592439186338,4.658592439186338
2020-09-03,101945.65302031962,101945.65302031962,-0.025921803032494587,-0.025921803032494584,1.9456530203196154,1.9456530203196154
2020-09-04,101655.55755046698,101655.55755046698,-0.0028455894023731018,-0.002845589402373101,1.6555575504669795,1.6555575504669795
2020-09-08,99324.15682765887,99324.15682765887,-0.022934316420926467,-0.022934316420926457,-0.6758431723411396,-0.6758431723411396
2020-09-09,100888.85744843743,100888.85744843743,0.015753474992931876,0.015753474992931876,0.8888574484374301,0.8888574484374301
2020-09-10,99334.1178039068,99334.1178039068,-0.015410419781245119,-0.015410419781245112,-0.6658821960931927,-0.6658821960931927
2020-09-11,99472.58481751913,99472.58481751913,0.0013939522157499107,0.0013939522157499107,-0.5274151824808615,-0.5274151824808615
2020-09-14,100831.94880802566,100831.94880802566,0.013665714960561792,0.013665714960561792,0.8319488080256621,0.8319488080256621
2020-09-15,101002.8207970248,101002.8207970248,0.0016946215065669842,0.0016946215065669833,1.002820797024806,1.002820797024806
2020-09-16,101356.12395933864,101356.12395933864,0.0034979534187843473,0.0034979534187843464,1.3561239593386398,1.3561239593386398
2020-09-17,100731.26693796397,100731.26693796397,-0.006164965637649418,-0.006164965637649417,0.7312669379639702,0.7312669379639702
2020-09-18,99877.00889030442,99882.43923151244,-0.008480564909261381,-0.008426655717278764,-0.12299110969558047,-0.11756076848755681
2020-09-21,98216.39825679055,98257.82876747535,-0.01662655552027734,-0.016265226165247008,-1.7836017432094509,-1.7421712325246475
2020-09-22,98950.43754560826,99014.21347311506,0.00747369382145879,0.007697958677976315,-1.0495624543917392,-0.9857865268849464
2020-09-23,96827.5622704173,96879.67419359046,-0.021453925094696878,-0.021557907745277164,-3.1724377295827,-3.1203258064095407
2020-09-24,96754.11742363793,96806.18981930338,-0.000758511781740976,-0.0007585117817409759,-3.245882576362069,-3.19381018069661
2020-09-25,98202.1406102332,98254.9923219455,0.014966011009692661,0.01496601100969266,-1.7978593897667983,-1.745007678054511
2020-09-28,100005.57746692402,100059.39977585801,0.018364537121942227,0.018364537121942227,0.005577466924022723,0.05939977585800449
2020-09-29,99617.84319773217,99671.45683076877,-0.0038771264464734522,-0.0038771264464734514,-0.3821568022678301,-0.3285431692312213
2020-09-30,100428.64643571456,100482.69643743643,0.00813913664415538,0.008139136644155378,0.4286464357145636,0.4826964374364362
2020-10-01,100951.26677960478,101005.59805197493,0.005203897119381822,0.005203897119381822,0.9512667796047758,1.005598051974932
2020-10-02,100704.7289020182,100758.92748941071,-0.0024421474385735433,-0.002442147438573543,0.7047289020182035,0.7589274894107101
2020-10-05,102356.48386458257,102427.97373554313,0.01640196027111546,0.016564748034935652,2.356483864582559,2.427973735543132
2020-10-06,101324.63002189557,101394.83941684241,-0.010080981719263847,-0.010086446905296965,1.3246300218955787,1.3948394168424194
2020-10-07,102958.29348299479,103029.63486848654,0.016123063669180628,0.016123063669180617,2.9582934829947893,3.0296348684865304
2020-10-08,104078.66816212033,104150.78587246336,0.01088183031423864,0.010881830314238639,4.078668162120325,4.150785872463358
2020-10-09,104598.65284699536,104671.13086272613,0.004996073586040413,0.004996073586040412,4.598652846995366,4.671130862726125
