,Price,SMA,EMA,RSI,MACD,MACD_Signal,ATR
2023-12-13,196.52085876464844,190.23339920043946,191.7123239522463,64.69290544923288,3.610895576804353,3.489847318851834,1.6046785627092552
2023-12-14,196.66976928710935,190.7347282409668,192.47500784991755,68.98318778904843,3.7388875550928447,3.5396553661000363,1.5202974591936282
2023-12-15,196.1336975097656,191.12487106323243,193.03788318220185,67.84403863780578,3.7537942047889317,3.5824831338378154,1.5458243233816884
2023-12-18,194.4658966064453,191.43261642456054,193.25757755516238,62.00260095502774,3.5896509755989143,3.5839167021900353,1.6216986519949697
2023-12-19,195.50827026367188,191.70512161254882,193.60383797185617,66.5355686914668,3.50329334161799,3.5677920300756263,1.6231177193777822
2023-12-20,193.4136199951172,191.91309967041016,193.57457366774247,59.991804914156205,3.228616047513242,3.4999568335631497,1.7316077096121572
2023-12-21,193.26467895507812,192.08037414550782,193.5268975581018,57.38823220262107,2.964738357513397,3.392913138353199,1.6507731846400588
2023-12-22,192.1925506591797,192.26055450439452,193.32161341980608,59.24608887216656,2.6386844815442316,3.242067406991406,1.5990077427455276
2023-12-26,191.64654541015625,192.42236938476563,193.06391064909073,49.031883927415215,2.3096027129107597,3.055574468175277,1.355079650878898
2023-12-27,191.74581909179688,192.55886993408203,192.86112733258398,52.291528571222386,2.03337412561757,2.8511343996637355,1.2841698782784536
2023-12-28,192.17269897460935,192.76783981323243,192.75521527751096,47.92044404872954,1.8278364581265407,2.646474811356297,1.1763883318219786
2023-12-29,191.13034057617188,192.89590225219726,192.50523455422802,40.1852240155526,1.5628215306371374,2.429744155212465,1.1487328665597016
2024-01-02,184.2904357910156,192.61793823242186,191.24141935988766,31.663484411935627,0.7917453905616014,2.1021444022822924,1.4578966413225385
2024-01-03,182.9105224609375,192.36082077026367,189.95974291389533,24.38790864112579,0.06852461185729908,1.6954204441972938,1.4479707990373802
2024-01-04,180.5875244140625,191.7895034790039,188.51786314469027,8.867302442655827,-0.6841926471273609,1.2194978259323628,1.3834435599190766
2024-01-05,179.86285400390625,191.23655319213867,187.18632327687735,7.864669086368551,-1.323939789909815,0.7108103027639272,1.4245692661830296
2024-01-08,184.21099853515625,190.8042190551758,186.72858100892026,24.905965536112035,-1.4632180184868275,0.27600463851377627,1.6968601771763332
2024-01-09,183.79405212402344,190.2795608520508,186.27711502662845,26.29025696657395,-1.5889249708983755,-0.09698128336865407,1.607513427734371
2024-01-10,184.83642578125,189.93260192871094,186.05547052733945,26.29025696657395,-1.5861536023150222,-0.3948157471579277,1.607513427734371
2024-01-11,184.24078369140625,189.47991714477538,185.7762879371959,28.16633869921492,-1.613422085921684,-0.638537014910679,1.500441414969304
