,AAPL,GOOG,GOOGL,AMZN,AVGO,BRK-B,COST,ABBV,BAC,CVX,KO,CSCO,AMD,ABT,BX,AXP,CAT,T,BKNG,SCHW,ANET,BLK,BA,C,ACN,AMGN,BSX,ADBE,AMAT,DHR,DE,COF,APH,ADP,CMCSA,COP,CRWD,ADI,CB,MO,CEG,CME,CDNS,AMT,BMY,CTAS,DELL,APO,CVS,ABNB,MMM,AON,COIN,AJG,BK,CI,CL,AZO,AXON,CSX,ADSK,APD,AEP,DLR,CMG,CARR,AFL,ALL,COR,GLW,CMI,BDX,CTVA,AMP,DDOG,XYZ,CBRE,CCI,AIG,CPRT,AME,BKR,FANG,CSGP,CCL,ED,CAH,CHTR,DAL,CTSH,ACGL,A,BR,BRO,DXCM,STZ,AWK,AEE,ADM,AVB
2020-08-07,108.20378112792969,74.28295135498047,74.47187042236328,158.3730010986328,28.915098190307617,209.47999572753906,314.1680908203125,75.97850036621094,23.083560943603516,69.71084594726562,41.073944091796875,40.796688079833984,84.8499984741211,92.59049224853516,44.165287017822266,93.06714630126953,122.28901672363281,15.98270034790039,1732.5146484375,31.945707321166992,14.425000190734863,520.9412231445312,170.02000427246094,43.31987762451172,214.69305419921875,205.9869384765625,38.970001220703125,449.57000732421875,60.78871536254883,178.39686584472656,172.01951599121094,60.42112731933594,25.739803314208984,124.3378677368164,37.43716049194336,32.157405853271484,101.75,106.36856079101562,119.68597412109375,28.39200210571289,40.70501708984375,136.30775451660156,108.52999877929688,224.23765563964844,50.5379753112793,73.58641052246094,28.350345611572266,42.9455680847168,55.22809600830078,144.7100067138672,109.1441879272461,187.8188018798828,328.2799987792969,100.95075988769531,32.5621452331543,164.76031494140625,67.85232543945312,1182.219970703125,83.87999725341797,22.76160430908203,236.24000549316406,249.93435668945312,72.6830062866211,133.225830078125,23.61240005493164,27.108291625976562,32.40139389038086,85.57410430908203,89.7902603149414,27.610069274902344,176.0182342529297,231.72161865234375,23.875566482543945,147.66575622558594,75.27999877929688,147.22000122070312,44.02000045776367,134.34030151367188,27.134653091430664,24.809999465942383,94.63655090332031,14.48369026184082,33.80445861816406,83.04199981689453,14.220000267028809,62.586753845214844,45.96084976196289,601.8699951171875,26.522586822509766,62.620418548583984,30.894695281982422,94.53282165527344,124.42919158935547,44.60426712036133,110.17500305175781,158.57164001464844,136.4784393310547,71.07101440429688,38.36444854736328,129.75550842285156
2020-08-10,109.77649688720703,74.36296844482422,74.39482116699219,157.4080047607422,29.041963577270508,212.5800018310547,313.3295593261719,75.53693389892578,23.481401443481445,72.06400299072266,41.00519561767578,41.05473709106445,82.23999786376953,91.50206756591797,44.00550842285156,95.3759765625,128.72433471679688,16.07853126525879,1746.43798828125,31.720468521118164,13.904375076293945,513.86474609375,179.41000366210938,43.93492889404297,213.5618896484375,203.8302764892578,38.97999954223633,443.2900085449219,62.385650634765625,175.48731994628906,178.0284881591797,61.94658279418945,25.777952194213867,124.50003814697266,37.620811462402344,33.28249740600586,97.0,106.77092742919922,120.61618041992188,29.098934173583984,40.70501708984375,134.8397979736328,107.19000244140625,220.58177185058594,51.2005500793457,75.10316467285156,28.830623626708984,42.93675994873047,55.865726470947266,144.7100067138672,111.2880630493164,185.32020568847656,328.2799987792969,101.54619598388672,32.72602844238281,169.20779418945312,68.21722412109375,1174.719970703125,83.13999938964844,23.120521545410156,231.8800048828125,249.5350341796875,72.12905883789062,132.91506958007812,23.219999313354492,27.566810607910156,33.24425506591797,85.87433624267578,90.61691284179688,27.870134353637695,185.64634704589844,232.02890014648438,23.969860076904297,148.58033752441406,76.36499786376953,139.33999633789062,45.369998931884766,132.7348175048828,27.842670440673828,24.71500015258789,95.84622955322266,15.086814880371094,35.94489669799805,83.14600372314453,15.4399995803833,62.81171417236328,46.38042449951172,602.3400268554688,28.63034439086914,62.277069091796875,31.122907638549805,93.91407775878906,125.67118072509766,44.47837448120117,105.30500030517578,158.50694274902344,135.85888671875,71.99638366699219,38.765262603759766,129.70486450195312
2020-08-11,106.51174926757812,73.57864379882812,73.58567810058594,154.0334930419922,28.746536254882812,212.66000366210938,306.3533630371094,75.77405548095703,23.79967498779297,71.97566223144531,41.18564224243164,40.59025192260742,76.87999725341797,90.60568237304688,44.1568717956543,96.91519927978516,129.1865692138672,16.07853126525879,1782.5008544921875,32.80910110473633,13.748749732971191,519.5684204101562,180.1300048828125,44.68297576904297,211.92079162597656,200.8177947998047,39.310001373291016,435.2300109863281,61.63977813720703,173.71548461914062,181.13143920898438,63.986671447753906,25.94245719909668,124.43700408935547,37.59456253051758,33.34125900268555,98.16000366210938,106.5880355834961,121.583251953125,29.354785919189453,40.70501708984375,137.1069793701172,105.18000030517578,214.30577087402344,52.2855110168457,75.56131744384766,28.695398330688477,42.05636978149414,55.48314666748047,144.7100067138672,112.62537384033203,186.0025177001953,328.2799987792969,101.48004150390625,32.8985481262207,168.63453674316406,67.6031494140625,1171.56005859375,79.2300033569336,23.451351165771484,228.7899932861328,249.85452270507812,69.90493774414062,127.36288452148438,22.943199157714844,27.594881057739258,33.7411003112793,85.50347137451172,89.15706634521484,28.000160217285156,187.29815673828125,230.4473876953125,25.252277374267578,150.1693572998047,75.68000030517578,138.25,47.20000076293945,129.2283935546875,28.302879333496094,24.985000610351562,96.0494613647461,15.016885757446289,35.76787185668945,81.01599884033203,15.819999694824219,61.04521560668945,46.36293411254883,590.47998046875,28.92308807373047,61.738834381103516,31.237014770507812,93.10197448730469,130.7403564453125,44.216915130615234,102.7874984741211,159.8197021484375,130.2438201904297,70.18888854980469,38.678131103515625,127.96761322021484
2020-08-12,110.05158996582031,74.88587188720703,74.9127197265625,158.11199951171875,29.599102020263672,213.24000549316406,310.34368896484375,78.09627532958984,23.631694793701172,72.85909271240234,41.615291595458984,41.37298583984375,82.61000061035156,92.05998229980469,44.45119857788086,95.43228149414062,129.22283935546875,16.06788444519043,1785.4337158203125,32.696475982666016,13.515000343322754,522.7567138671875,175.44000244140625,44.34220504760742,213.01486206054688,206.86843872070312,39.959999084472656,445.3599853515625,63.59050369262695,178.8485565185547,180.27835083007812,62.62661361694336,26.176109313964844,125.7705078125,37.900638580322266,34.978519439697266,98.44999694824219,109.02046203613281,119.9898910522461,28.92388916015625,40.70501708984375,138.60763549804688,107.27999877929688,218.74510192871094,52.70790481567383,75.93160247802734,28.830623626708984,42.34688949584961,55.253597259521484,144.7100067138672,113.23197174072266,184.63790893554688,328.2799987792969,101.09251403808594,32.76053237915039,170.42831420898438,68.74229431152344,1188.3699951171875,79.76000213623047,23.417020797729492,231.57000732421875,253.22613525390625,70.6267318725586,129.72317504882812,23.218399047851562,27.875598907470703,33.37733840942383,84.97364044189453,91.0654296875,28.372920989990234,188.32278442382812,232.45359802246094,24.85624122619629,148.81130981445312,76.61000061035156,139.02000427246094,47.279998779296875,131.9521026611328,27.382457733154297,24.9950008392334,97.96562194824219,15.322820663452148,36.16957092285156,82.4739990234375,15.1899995803833,61.878475189208984,47.044742584228516,598.739990234375,28.38639259338379,62.15645217895508,30.999290466308594,94.38780212402344,127.9896011352539,44.35248947143555,106.97250366210938,162.25120544433594,133.39886474609375,70.8980712890625,38.730411529541016,128.954345703125
2020-08-13,111.99923706054688,75.47386932373047,75.38041687011719,158.05099487304688,29.22471809387207,211.97999572753906,309.3668212890625,77.41759490966797,23.295745849609375,72.13627624511719,41.57233428955078,36.74540328979492,81.83999633789062,92.4715805053711,44.72029113769531,94.24971771240234,127.50069427490234,15.924134254455566,1770.522705078125,32.48063278198242,13.51937484741211,522.1546020507812,174.72999572753906,43.95987319946289,214.85064697265625,205.79013061523438,39.75,450.0199890136719,62.223087310791016,179.95155334472656,177.6441650390625,62.157936096191406,26.362079620361328,125.48220825195312,37.94437026977539,34.11371994018555,100.88999938964844,108.00543975830078,120.83722686767578,28.66131591796875,40.70501708984375,138.28953552246094,108.66000366210938,218.24891662597656,52.376609802246094,75.715576171875,27.772151947021484,42.690250396728516,55.00703430175781,144.7100067138672,114.33494567871094,187.07888793945312,328.2799987792969,101.30992126464844,32.1567268371582,167.24757385253906,68.51091003417969,1187.1400146484375,80.41000366210938,23.095558166503906,238.19000244140625,255.80810546875,70.21546173095703,127.79129028320312,23.89859962463379,27.64166831970215,33.492671966552734,85.00012969970703,90.34430694580078,28.190879821777344,185.69935607910156,237.07159423828125,25.51010513305664,146.8897705078125,82.41999816894531,143.19000244140625,46.029998779296875,131.2811737060547,27.17889976501465,25.002500534057617,97.70429992675781,14.96444034576416,36.17768478393555,84.16899871826172,15.220000267028809,61.47017288208008,45.82973098754883,604.219970703125,28.005826950073242,62.08219528198242,30.771076202392578,95.48994445800781,127.73197174072266,44.37186050415039,108.81999969482422,163.28663635253906,133.98411560058594,70.3705062866211,38.712982177734375,127.09056854248047
2020-08-14,111.89942932128906,74.94103240966797,74.78300476074219,157.4010009765625,29.082773208618164,210.9600067138672,309.9013977050781,77.73650360107422,23.40183448791504,72.56192779541016,41.63248062133789,36.556182861328125,81.30000305175781,91.45631408691406,44.35028076171875,94.2403335571289,126.85718536376953,15.977373123168945,1756.5992431640625,32.89356231689453,13.291874885559082,521.180419921875,178.0800018310547,43.99311828613281,213.47848510742188,206.5224609375,39.15999984741211,447.6000061035156,64.66150665283203,177.9279022216797,179.1721954345703,63.839630126953125,26.17373275756836,125.21190643310547,38.276676177978516,34.27323532104492,101.25,107.15499877929688,119.8609390258789,28.64111328125,40.70501708984375,139.81460571289062,108.0,217.71795654296875,52.31036376953125,75.1126708984375,27.935348510742188,42.14441680908203,55.831722259521484,144.7100067138672,114.5003890991211,189.51022338867188,328.2799987792969,101.12089538574219,32.37237548828125,169.57765197753906,68.57319641113281,1196.050048828125,79.58000183105469,23.173583984375,234.35000610351562,257.1478576660156,69.61955261230469,128.782470703125,23.730600357055664,27.622949600219727,33.77658462524414,84.87650299072266,91.61588287353516,28.01750373840332,188.5966339111328,233.31216430664062,26.410348892211914,147.4994659423828,81.23999786376953,141.9600067138672,46.02000045776367,131.49681091308594,27.426708221435547,25.002500534057617,98.01399993896484,15.060590744018555,36.93239974975586,83.03700256347656,15.470000267028809,61.27019500732422,46.9223747253418,604.989990234375,28.24977684020996,62.11003875732422,30.66647720336914,94.13643646240234,127.76876068115234,44.37186050415039,106.29000091552734,162.74119567871094,132.88673400878906,70.28402709960938,38.85239028930664,129.07240295410156
2020-08-17,111.6072769165039,75.45051574707031,75.36003875732422,159.12049865722656,29.30455780029297,206.77999877929688,313.29266357421875,78.78311920166016,22.897899627685547,72.89925384521484,41.42625427246094,36.203514099121094,82.41999816894531,92.11487579345703,44.88847732543945,91.55606842041016,125.73328399658203,15.892190933227539,1730.9742431640625,32.49002456665039,13.438124656677246,524.3422241210938,172.00999450683594,42.73807144165039,215.67581176757812,209.3655548095703,39.349998474121094,451.5799865722656,64.01126098632812,178.54452514648438,180.91578674316406,61.376834869384766,26.199953079223633,125.8426513671875,38.06679916381836,34.1724853515625,105.33999633789062,107.39274597167969,115.90058898925781,28.97101402282715,40.70501708984375,142.3998260498047,109.5199966430664,218.40562438964844,52.69133758544922,76.19271087646484,27.832765579223633,43.176231384277344,55.177085876464844,144.7100067138672,113.54219818115234,189.04893493652344,328.2799987792969,100.79953002929688,31.992841720581055,168.4588165283203,68.71560668945312,1207.75,79.62000274658203,23.404544830322266,239.0,256.9171447753906,68.17598724365234,131.47032165527344,24.324399948120117,27.922386169433594,33.23537826538086,84.09062194824219,91.32447052001953,28.026166915893555,185.90252685546875,235.00209045410156,26.315580368041992,145.808837890625,83.44999694824219,152.47999572753906,45.09000015258789,132.6389923095703,26.515138626098633,25.290000915527344,98.13013458251953,14.571099281311035,36.58344650268555,83.11799621582031,14.680000305175781,62.00345993041992,46.09196472167969,604.969970703125,27.342273712158203,62.67612075805664,30.200536727905273,94.27177429199219,127.08798217773438,44.546165466308594,110.2300033569336,160.57786560058594,134.0298614501953,70.42240142822266,38.678131103515625,131.02890014648438
2020-08-18,112.53726959228516,77.46951293945312,77.32524108886719,165.62449645996094,29.155517578125,208.3300018310547,314.0207214355469,78.21074676513672,22.57079315185547,71.39204406738281,41.6067008972168,36.10889434814453,81.66000366210938,92.34354400634766,45.03983688354492,90.73014068603516,125.416015625,15.860247611999512,1756.638671875,32.799720764160156,13.7162504196167,521.8447265625,170.22999572753906,41.84041976928711,217.16851806640625,208.0646514892578,39.33000183105469,463.510009765625,63.523582458496094,180.3771209716797,180.109619140625,60.16381072998047,26.023527145385742,126.10396575927734,38.07554244995117,33.86183547973633,107.0999984741211,107.79509735107422,115.20060729980469,29.098934173583984,40.70501708984375,141.74740600585938,109.1500015258789,219.83314514160156,52.202693939208984,75.66574096679688,27.98664093017578,42.60695266723633,55.415130615234375,144.7100067138672,113.31474304199219,188.7606201171875,328.2799987792969,101.48947143554688,31.734079360961914,168.21844482421875,69.10720825195312,1211.81005859375,79.3499984741211,23.2235164642334,242.69000244140625,254.0690460205078,68.44456481933594,131.41993713378906,24.73859977722168,27.566810607910156,33.19963073730469,83.60496520996094,90.81230163574219,27.83545684814453,185.4167022705078,238.4542694091797,26.91259002685547,144.5801239013672,83.45999908447266,151.0399932861328,44.65999984741211,132.59109497070312,26.178834915161133,25.25,98.30432891845703,14.38753890991211,36.104644775390625,82.83000183105469,14.40999984741211,61.755104064941406,45.497562408447266,610.6900024414062,26.961702346801758,62.379154205322266,30.029375076293945,94.61016845703125,128.09996032714844,44.6333122253418,109.30500030517578,164.72891235351562,133.51771545410156,70.20619201660156,38.92408752441406,130.43858337402344
2020-08-19,112.678466796875,76.91927337646484,76.77007293701172,163.0240020751953,29.20608901977539,207.2100067138672,314.15887451171875,78.57869720458984,22.544267654418945,70.38182830810547,40.704444885253906,36.014278411865234,81.08999633789062,91.90449523925781,45.40144348144531,90.93659973144531,125.09879302978516,15.828303337097168,1745.3419189453125,33.51296615600586,13.790624618530273,522.3228149414062,169.27000427246094,41.79886245727539,217.53939819335938,207.19444274902344,39.349998474121094,462.010009765625,63.197364807128906,178.85719299316406,179.97836303710938,60.375179290771484,26.021135330200195,125.1578369140625,37.88314437866211,33.29088592529297,108.1500015258789,108.04200744628906,114.14143371582031,29.38844871520996,40.70501708984375,140.43438720703125,108.52999877929688,213.46144104003906,52.25239181518555,75.60164642333984,27.90736961364746,42.42015838623047,55.500152587890625,144.7100067138672,113.03209686279297,189.8657684326172,328.2799987792969,100.77117919921875,31.906587600708008,167.58966064453125,69.37417602539062,1210.0,80.95999908447266,23.111162185668945,241.4199981689453,254.60147094726562,67.9157943725586,127.65685272216797,24.387399673461914,27.370304107666016,33.101295471191406,83.25173950195312,89.81448364257812,27.939483642578125,186.52967834472656,236.7734375,27.064210891723633,144.90350341796875,82.47000122070312,150.3699951171875,44.310001373291016,129.9073028564453,26.4266414642334,25.127500534057617,97.75270080566406,14.273906707763672,35.13893508911133,82.7229995727539,14.600000381469727,61.830867767333984,45.1391716003418,611.6599731445312,27.00074005126953,62.07291030883789,29.858213424682617,94.70684814453125,126.31521606445312,44.50742721557617,108.22000122070312,166.41151428222656,131.6155548095703,70.18023681640625,38.70448303222656,128.31338500976562
2020-08-20,115.17876434326172,78.62017059326172,78.3426513671875,164.86849975585938,29.172374725341797,206.1199951171875,314.1313171386719,77.8427963256836,22.19063377380371,69.09458923339844,40.68726348876953,36.39274597167969,82.7699966430664,92.95633697509766,44.14005661010742,90.77706146240234,124.60932922363281,15.796359062194824,1746.5467529296875,32.42433166503906,13.836250305175781,516.66357421875,169.5800018310547,41.208744049072266,219.37518310546875,205.67811584472656,38.86000061035156,478.4800109863281,61.2017707824707,178.6226806640625,179.14402770996094,59.061073303222656,25.582447052001953,125.38307189941406,37.83943176269531,32.55201721191406,112.48999786376953,107.40189361572266,113.69015502929688,29.28746223449707,40.70501708984375,141.2335662841797,111.26000213623047,215.59405517578125,51.53184509277344,75.96482849121094,27.818775177001953,41.49507522583008,54.173858642578125,144.7100067138672,112.3427734375,189.32763671875,328.2799987792969,100.53489685058594,30.94050407409668,164.59388732910156,69.64118194580078,1203.5,81.75,23.06747055053711,249.14999389648438,253.820556640625,66.64846801757812,130.319580078125,24.797800064086914,27.145721435546875,32.77054977416992,84.2054214477539,87.45674133300781,27.627408981323242,185.7661590576172,233.9990234375,27.29163360595703,143.32374572753906,85.77999877929688,155.86000061035156,44.08000183105469,130.0989990234375,25.78057861328125,25.09749984741211,96.93012237548828,13.74945068359375,32.97217559814453,83.59200286865234,14.539999961853027,60.95528030395508,43.845489501953125,612.5399780273438,26.951946258544922,61.728431701660156,29.858213424682617,94.53282165527344,126.31521606445312,44.342803955078125,107.97000122070312,164.8767852783203,131.94480895996094,69.59215545654297,38.203765869140625,129.6205291748047
