Date,Portfolio_Value,Portfolio_Return,Cumulative_Return,Drawdown,Rolling_Max,Rolling_Volatility_126d,Rolling_Return_126d
2020-08-04,100344.65079492582,0.0034465079492581735,0.0034465079492582706,0.0,100344.65079492582,,
2020-08-05,100917.88343150179,0.005712637714465292,0.00917883431501787,0.0,100917.88343150179,,
2020-08-06,100630.34877028567,-0.0028491943294796543,0.006303487702856714,-0.002849194329479647,100917.88343150179,,
2020-08-07,100918.61942285443,0.0028646492444025394,0.009186194228544275,0.0,100918.61942285443,,
2020-08-10,101537.402727265,0.0061315078223357486,0.015374027272649915,0.0,101537.402727265,,
2020-08-11,101283.06393661944,-0.00250487784613449,0.01283063936619433,-0.002504877846134481,101537.402727265,,
2020-08-12,102053.0098222997,0.007601921345528162,0.020530098222997006,0.0,102053.0098222997,,
2020-08-13,101825.55211001576,-0.002228819244822023,0.0182555211001576,-0.002228819244821901,102053.0098222997,,
2020-08-14,101903.15849051496,0.0007621503531387228,0.019031584905149668,-0.0014683675870576331,102053.0098222997,,
2020-08-17,101869.39941609454,-0.00033128584943300506,0.018693994160945415,-0.0017991669870871271,102053.0098222997,,
2020-08-18,101836.39065951102,-0.0003240301481378348,0.018363906595110224,-0.0021226141508797884,102053.0098222997,,
2020-08-19,101499.15633955218,-0.003311530561667125,0.014991563395521768,-0.005427115610915575,102053.0098222997,,
2020-08-20,101203.37329791603,-0.0029141428589479815,0.012033732979160217,-0.008325443079661354,102053.0098222997,,
2020-08-21,101112.98040087908,-0.0008931806726524916,0.011129804008790822,-0.009211187627463934,102053.0098222997,,
2020-08-24,102268.91137455242,0.011432073004776045,0.022689113745524292,0.0,102268.91137455242,,
2020-08-25,102511.68974035591,0.0023739214834734065,0.025116897403559157,0.0,102511.68974035591,,
2020-08-26,102563.46334207454,0.0005050507103116418,0.025634633420745345,0.0,102563.46334207454,,
2020-08-27,103026.84926598796,0.004518040916460641,0.03026849265987952,0.0,103026.84926598796,,
2020-08-28,103638.98583521112,0.005941524695594404,0.03638985835211117,0.0,103638.98583521112,,
2020-08-31,103132.05103130374,-0.004891352417452458,0.0313205103130374,-0.00489135241745246,103638.98583521112,,
2020-09-01,103740.12917799162,0.005896112223185691,0.037401291779916246,0.0,103740.12917799162,,
2020-09-02,105339.7816776033,0.015419804392830971,0.05339781677603295,0.0,105339.7816776033,,
2020-09-03,102542.46136319048,-0.026555212758785952,0.025424613631904736,-0.026555212758785973,105339.7816776033,,
2020-09-04,102236.0911205765,-0.002987740283791755,0.022360911205765,-0.029463612963673787,105339.7816776033,,
2020-09-08,99844.06203798673,-0.023397110123944607,-0.0015593796201326393,-0.05217135969045808,105339.7816776033,,
2020-09-09,101394.94555066455,0.015533057059394962,0.013949455506645503,-0.03744868333800126,105339.7816776033,,
2020-09-10,99812.77797661719,-0.01560400832067896,-0.001872220233828159,-0.05246834209227556,105339.7816776033,,
2020-09-11,99944.95606702587,0.0013242602108483215,-0.0005504393297413035,-0.05121356361918917,105339.7816776033,,
2020-09-14,101289.32058607241,0.0134510491769588,0.012893205860724066,-0.03845139060499944,105339.7816776033,,
2020-09-15,101437.82393900571,0.0014661304081619421,0.014378239390057113,-0.03704163494983963,105339.7816776033,,
2020-09-16,101777.07871953683,0.0033444603537149827,0.017770787195368287,-0.033821058875651226,105339.7816776033,,
2020-09-17,101138.41093312512,-0.006275163272976741,0.011384109331251224,-0.039883989482118375,105339.7816776033,,
2020-09-18,100273.4776311645,-0.00855197638543615,0.002734776311644982,-0.0480948789313465,105339.7816776033,,
2020-09-21,98601.87970294227,-0.016670389495922897,-0.013981202970577256,-0.0639635080627246,105339.7816776033,,
2020-09-22,99347.28311307574,0.00755972819564041,-0.00652716886924265,-0.05688732660247812,105339.7816776033,,
