Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio
2020-10-29,98329.60621588468,100155.63573524471,300.6231175836409
2020-10-30,97885.04407686554,100664.1761594944,295.24985712250606
2020-11-02,99648.5867860845,101370.022598648,316.94945271296746
2020-11-03,101582.7689665707,101555.56566373915,321.9736229587554
2020-11-04,102808.00395280388,100734.14563401284,288.61256751236175
2020-11-05,104625.74222636689,100753.8825911977,286.4843231594251
2020-11-06,104931.33775682191,101068.76422000512,286.7068941476867
2020-11-09,108295.31693257768,103135.39214624188,301.90633557256746
2020-11-10,108515.96336335958,103480.1353016563,291.7839988960993
2020-11-11,108599.7832822513,102971.20274211442,249.4996010760063
2020-11-12,107292.2676884782,102618.04132359737,288.39029916534025
2020-11-13,109171.02396638386,103077.92784574357,306.9003170132954
2020-11-16,110881.88640267133,103488.01064528545,306.44623299510266
2020-11-17,110459.74665306717,103615.21055126683,306.807719607612
2020-11-18,109226.56428238768,103888.01729800731,375.9629228663114
2020-11-19,109741.01839916412,103815.73542208437,421.2824753578776
2020-11-20,109152.65438283164,104164.30717027605,418.3978637675326
2020-11-23,110359.03748023864,104648.1780080132,352.9792531062568
2020-11-24,112251.17391953104,104647.75776570436,351.8300792455928
2020-11-25,111956.6881203338,104553.42590665749,368.84654650607195
2020-11-27,112087.52014098376,104361.15941769349,356.01990888074425
2020-11-30,111240.33114398774,104074.84716118942,357.4115592132769
2020-12-01,112049.74805519952,103710.83649468735,322.5636227397421
2020-12-02,112375.12927425493,103793.59812962732,328.04601803835607
2020-12-03,112894.83594919958,104301.7739800016,327.6146243980689
2020-12-04,114410.13625784389,104762.22716237699,345.884320099103
2020-12-07,113793.14961210587,104441.93869612298,374.86056516481466
2020-12-08,114183.78001453022,104462.01301885911,365.4099818812933
2020-12-09,113469.35421013966,104732.86239895581,326.4548482050809
2020-12-10,113616.15919428437,104901.55961951282,321.1081362233373
2020-12-11,113084.97307597053,104534.87791710942,332.28872406176583
2020-12-14,112408.7156318878,104368.03789855866,322.8748559730639
2020-12-15,113904.00051089795,104243.63665954006,353.43985054735316
2020-12-16,113967.96118942968,104127.25093943691,352.05425830434075
