date,alpha,beta,r_squared,alpha_pvalue,beta_pvalue,alpha_stderr,beta_stderr,residual_std,alpha_annualized_pct,beta_regime
2020-10-27,0.000273989517745683,-0.01585237277760383,0.0005697540573924175,0.8395397742759738,0.8563449258914901,0.001347094088199266,0.08717918619002608,0.009950655774958394,6.904535847191212,
2020-10-28,-0.0002098399801026434,-0.03355370020308746,0.0022352916258635024,0.8849738956072157,0.719806476243112,0.0014441350743821608,0.09308364834777454,0.010649197219865457,-5.287967498586614,
2020-10-29,-0.0001128794010983979,-0.03897515279447106,0.002988337595923645,0.9382679637703752,0.6782578713527859,0.001451199104286584,0.09347793706947684,0.010704431968064736,-2.844560907679627,
2020-10-30,-0.0001580120426531642,-0.03361418876260293,0.002128835843569844,0.9131289604078847,0.7262922144810786,0.0014421159119806205,0.09555970210932069,0.010710950865832456,-3.9819034748597373,
2020-11-02,0.00012395047541730007,-0.04830732258878032,0.00423415961797487,0.9329783007207508,0.6213383167654525,0.0014674926601020988,0.09727337171090143,0.010938021653591892,3.1235519805159617,
2020-11-03,0.00035880406619930786,-0.04324595953049762,0.003125594277505359,0.8133627397456276,0.6713643558375557,0.0015128733615384405,0.10141109268015132,0.011215656765606912,9.041862468222558,
2020-11-04,0.0004952563164609348,-0.011129985876252425,0.00021852033004354657,0.7482444111646165,0.9107428477281408,0.001535746782655104,0.09885240419487526,0.011334895905044842,12.480459174815559,
2020-11-05,0.0007490952827096611,-0.038024348019885267,0.0025993800858876964,0.6303873819981387,0.6988558082290012,0.0015485292899990455,0.09780199248670522,0.011483159164975575,18.87720112428346,
2020-11-06,0.0008265290832729761,-0.0351177334068901,0.0022143204384639887,0.5954374769607145,0.721070182470634,0.0015480395138462238,0.09788381324875864,0.01148318738851092,20.828532898478997,
2020-11-09,0.0014834426272922977,-0.09099721713290752,0.013726032837878616,0.36216807601808565,0.3726672072094406,0.0016150942834390104,0.10128389222200992,0.01209665503910487,37.3827542077659,
2020-11-10,0.0015294739021185207,-0.09348477344038877,0.014363679116785292,0.347930479440435,0.3617119554442063,0.0016162978399888498,0.10168394459368452,0.012091677769480044,38.54274233338672,
2020-11-11,0.0015510130483180203,-0.09210607083725113,0.013993081339625351,0.3414074215393359,0.36802460026826966,0.0016168774047642474,0.1015213913556292,0.012092230203121552,39.08552881761411,
2020-11-12,0.0013903088341998809,-0.08958699026156289,0.013000641258454133,0.39724393253751655,0.38569401047305407,0.001630167812673092,0.10249601903557913,0.012203908058792668,35.035782621837,
2020-11-13,0.00172504516220502,-0.10558642167039795,0.017862880134444706,0.2971396769999821,0.30864792454658657,0.0016396974171186197,0.10280267035639724,0.012339922023068418,43.4711380875665,
2020-11-16,0.0019496379087170714,-0.11759720615967992,0.020895927780548485,0.24086364860407072,0.2704799414119315,0.0016453114349032603,0.10569796023805775,0.012446973464073646,49.130875299670194,
2020-11-17,0.0017211575323606934,-0.11702848187997088,0.02090575739615017,0.2990847014111888,0.2703660859704691,0.0016426637229463032,0.10516152363912395,0.012404728325212505,43.37316981548947,
2020-11-18,0.0014817499469877767,-0.1056894794910324,0.016775718449834238,0.37550404388133707,0.3239741271332919,0.0016591424465295405,0.10624377552532299,0.012528495270759742,37.340098664091975,
2020-11-19,0.0015890123578153753,-0.10782131193349033,0.017162451692902373,0.343648582257742,0.31841215094092734,0.0016642603610125927,0.1071375772184813,0.012534197153451093,40.04311141694746,
2020-11-20,0.0014403177034654198,-0.10529979957992795,0.01608355646158575,0.39249319555474416,0.3342482318908391,0.0016718105521424046,0.10814379682078115,0.01256165037547482,36.29600612732858,
2020-11-23,0.0015317147657117878,-0.1117438901998732,0.018128962548050267,0.36408675863944073,0.3050391521642119,0.0016743799685103801,0.10798179406685815,0.012600892243945724,38.599212095937055,
2020-11-24,0.001833157100131873,-0.07331051547929555,0.008132735404957582,0.2870939279523528,0.49318747156440723,0.0017062183151229573,0.10630672366189395,0.012790813680432762,46.1955589233232,
2020-11-25,0.0017084768618427135,-0.07549960676764786,0.008651663757280277,0.3211822000543507,0.4796507992681315,0.0017074723553840842,0.10611921230730047,0.012788139506339807,43.05361691843638,
2020-11-27,0.0014914996544285956,-0.08518257080359727,0.011152956450061367,0.380056252486475,0.42193205570039616,0.0016861840541306306,0.10531889713130235,0.01264969100803388,37.58579129160061,
2020-11-30,0.0017822757901403156,-0.08101500616080244,0.010972583657236525,0.2763040441809135,0.42573150981971764,0.001621707669480044,0.10099530557797033,0.012188985443152054,44.91334991153595,
2020-12-01,0.0019224346730865721,-0.07214493629686888,0.008532247210288234,0.2409699579326694,0.48271165347655354,0.0016227255144141961,0.10211732721385454,0.012211930605052613,48.44535376178162,
2020-12-02,0.0021960867682163016,-0.006898688427131269,7.624109040146717e-05,0.16480762905354251,0.9472080400865815,0.0015609946758514113,0.10373884979583567,0.011824090925671792,55.3413865590508,
2020-12-03,0.0020255744739843414,-0.015693420567793062,0.0004008981402757504,0.19442339209286152,0.8793085675151788,0.0015429497691765634,0.10289624459204183,0.011701230585314236,51.0444767444054,
2020-12-04,0.002541520446242583,-0.02975797995460926,0.0014619062354004023,0.10123381158376454,0.771784081039021,0.001526107430033163,0.10212028300615827,0.011545628512263602,64.0463152453131,
2020-12-07,0.0024651444593627907,-0.038385608650862844,0.002382184319124498,0.11431700992819627,0.7111365022973837,0.0015376140820384332,0.10314515951638231,0.01158190145820232,62.12164037594232,
2020-12-08,0.0022859464745261437,-0.043306796938444345,0.0031624332996252114,0.13781452408672168,0.6695445378077337,0.0015191520229476997,0.10095866003820546,0.011488349662071897,57.60585115805882,
