Date,Price,SMA,EMA,RSI,MACD,MACD_Signal,ATR
2021-06-08,124.03018188476562,122.90475502014161,123.0715622998316,56.45057605832427,-0.7506749807874229,-0.9113450465306375,1.0240554809570273
2021-06-09,124.4118194580078,122.96445045471191,123.27775570878178,58.198884027977826,-0.5881543257178947,-0.846706902368089,1.0401317051478753
2021-06-10,123.41365051269533,123.12788009643555,123.29866260169156,45.481992958858605,-0.5337467274892731,-0.7841148673923258,0.928288596017015
2021-06-11,124.62712097167967,123.24433517456055,123.50304081245896,57.59493944143141,-0.388236045795864,-0.7049391030730335,0.8835509163992684
2021-06-14,127.69019317626952,123.3925952911377,124.14721809919905,61.98581662239661,-0.025459967797601735,-0.5690432760179472,0.9856066022600396
2021-06-15,126.8681640625,123.55749244689942,124.56582517047612,59.294478673625036,0.19348147418291717,-0.4165383259777744,1.0303426470075274
2021-06-16,127.3672332763672,123.81682548522949,124.9968110329209,60.855224015329725,0.40262366402963323,-0.2527059279762929,1.062495640345977
2021-06-17,128.97219848632812,124.16423530578614,125.60840910267586,71.31640347787038,0.6899246139744548,-0.06417981958614334,1.0673904418945241
2021-06-18,127.670654296875,124.3183692932129,125.92567759409111,68.36169639024992,0.8033286751546171,0.10932187936200875,1.1135248456682416
2021-06-21,129.4713134765625,124.65452613830567,126.47116003754824,72.99333798537435,1.026665595824639,0.2927906226545348,1.2190742492675721
2021-06-22,131.11537170410156,124.99117126464844,127.18565414009491,74.31861492545445,1.321094715972933,0.49845144131821445,1.2819840567452505
2021-06-23,130.8413543701172,125.32390174865722,127.74806956009834,79.70778673090808,1.5148586584952426,0.7017328847536202,1.1953070504324717
2021-06-24,130.5575408935547,125.64488792419434,128.18029591909163,75.00009071291554,1.6267642773439661,0.8867391632716893,1.0513104030064113
2021-06-25,130.26397705078125,126.02801780700683,128.50086224704387,73.5161654185048,1.6724827972196437,1.0438878900612802,1.0715800694056858
2021-06-28,131.89825439453125,126.5256446838379,129.02353796204193,74.87637602529517,1.8196122200171772,1.1990327560524596,1.1295961652483197
2021-06-29,133.4151153564453,127.11526298522949,129.69916525348862,76.55906921724491,2.03515139187715,1.3662564832173978,1.2106835501534547
2021-06-30,134.03164672851562,127.69754180908203,130.36570086503124,82.0438185441833,2.230010494760222,1.5390072855259627,1.1834237234933005
2021-07-01,134.3349609375,128.36936111450194,130.97635626079565,81.0000604201344,2.3814606633224855,1.7074979610852674,1.118412562779017
2021-07-02,136.96751403808594,129.0578197479248,131.89807284191724,80.46287653435833,2.6829832858801694,1.902595026044248,1.0876611982073092
2021-07-06,138.9834747314453,129.84658699035646,132.98813467107541,86.88926284567901,3.0494610279710628,2.131968226429611,1.1729420253208704
2021-07-07,141.4789276123047,130.7190242767334,134.2944105081876,88.31040899277058,3.5009032377350877,2.4057552286907065,1.3155408586774544
2021-07-08,140.17738342285156,131.50730247497557,135.19948326428977,80.92936824894346,3.7108740566224867,2.6667789942770628,1.293867928641183
2021-07-09,142.0074005126953,132.43698997497557,136.24685514865985,88.4515245591821,3.979076214694203,2.929238438360491,1.331615992954799
2021-07-12,141.41043090820312,133.27615547180176,137.04125141935882,84.23121278036676,4.096239005820024,3.162638551852398,1.245638166155134
2021-07-13,142.5260772705078,134.01794967651367,137.88507078107403,83.7384773083281,4.230349859611607,3.3761808134042397,1.2078944614955358
2021-07-14,145.9610137939453,134.97259216308595,139.127523552285,87.66460747360883,4.561225381009024,3.6131897269251967,1.4336744035993303
2021-07-15,145.3052978515625,135.8694953918457,140.07795036755846,86.06982515720924,4.71617073848347,3.8337859292368517,1.4602388654436385
2021-07-16,143.26004028320312,136.58388748168946,140.56750266227303,79.27695668972497,4.6206666884478125,3.991162081079044,1.585359845842634
2021-07-19,139.4042510986328,137.17056732177736,140.38854088325147,65.37071535837286,4.185600085366417,4.030049681936519,1.7440392630440849
2021-07-20,143.025146484375,137.84825897216797,140.79417251419355,68.11806084164292,4.085883146938869,4.041216374936989,1.8943274361746651
2021-07-21,142.29119873046875,138.40705032348632,141.02448423977435,65.50332579501739,3.902646030800099,4.013502306109611,1.9027143205915178
2021-07-22,143.66127014160156,139.04804611206055,141.43014360928623,66.8316021896182,3.8239030349321865,3.9755824518741267,1.9789112636021204
2021-07-23,145.38363647460938,139.7893508911133,142.03837328087442,65.70490242362084,3.856029306501455,3.9516718227995926,1.913897923060826
2021-07-26,145.804443359375,140.56637420654297,142.61776867756683,63.53398095877065,3.8708247487492713,3.9355024079895284,1.7999583653041296
2021-07-27,143.63192749023438,141.15305786132814,142.7737931102849,54.32738045948457,3.66499854728832,3.881401635849287,1.7768914358956474
2021-07-28,141.8801727294922,141.57631072998046,142.63631305170142,53.36164982738989,3.3222312171125736,3.7695675521019445,1.809049333844866
2021-07-29,142.5260772705078,142.00103225708008,142.61935370074855,51.07419504894426,3.067346278313863,3.6291232973443286,1.7244698660714286
2021-07-30,142.7413787841797,142.42135314941407,142.6381267905072,52.80070896708504,2.84986963757288,3.473272565390039,1.6972078595842635
2021-08-02,142.40863037109375,142.69340896606445,142.60281964905897,49.7444363355285,2.6204607762610124,3.3027102075642336,1.6412865774972099
2021-08-03,144.20928955078125,142.95469970703124,142.84996886470856,45.896397082320846,2.5545040157636834,3.153068969204124,1.524552481515067
2021-08-04,143.8080291748047,143.07115478515624,142.9973627585695,46.45016630405605,2.4417079595609437,3.010796767275488,1.5063770839146204
2021-08-05,143.91566467285156,143.25806884765626,143.13863997615135,51.711664912522515,2.3340955568581307,2.8754565251920168,1.3679755074637276
2021-08-06,143.22962951660156,143.31918029785157,143.15263836698983,61.96784387859346,2.168458014562674,2.7340568230661484,1.1415645054408483
2021-08-09,143.18064880371094,143.40769119262694,143.15694766494693,50.62652080840919,2.010065945758015,2.5892586476045216,0.886427743094308
2021-08-10,142.70040893554688,143.4164077758789,143.0867109373469,51.68312258213523,1.8247531280574094,2.4363575436950993,0.8683057512555804
2021-08-11,142.95523071289062,143.26611862182617,143.06648321050747,46.80265621868889,1.6790977787289876,2.284905590701877,0.7886450631277901
2021-08-12,145.9248809814453,143.2970977783203,143.50623671372867,52.20227311390279,1.7827405004933894,2.1844725726601797,0.8777367728097099
2021-08-13,146.1306915283203,143.44063034057618,143.90999899289662,51.35111224576201,1.8600438674328075,2.1195868316147055,0.862379891531808
2021-08-16,148.11050415039062,143.87594299316407,144.556230555588,68.84825226558165,2.057345872722209,2.107138639836206,0.8486153738839286
