Date,Signal_Weighted_Return,Equal_Weight_Return,Signal_Weighted_Value,Equal_Weight_Value,Signal_Cumulative_Return,Equal_Cumulative_Return
2020-08-04,0.003573820111642515,0.003573820111642516,100357.38201116424,100357.38201116424,0.003573820111642423,0.003573820111642423
2020-08-05,0.005903490150027328,0.0059034901500273265,100949.84082734968,100949.84082734968,0.009498408273496795,0.009498408273496795
2020-08-06,-0.0028585980024290044,-0.002858598002429005,100661.26581401509,100661.26581401509,0.006612658140150884,0.006612658140150884
2020-08-07,0.0034965064475010773,0.0034965064475010786,101013.22857894741,101013.22857894741,0.010132285789474116,0.010132285789474116
2020-08-10,0.006004472637038247,0.006004472637038249,101619.7597459286,101619.7597459286,0.01619759745928606,0.01619759745928606
2020-08-11,-0.0019269477171517187,-0.0019269477171517191,101423.94378186867,101423.94378186867,0.014239437818686751,0.014239437818686751
2020-08-12,0.007525603648187735,0.007525603648187738,102187.2201832071,102187.2201832071,0.021872201832070948,0.021872201832070948
2020-08-13,-0.0021196232259082033,-0.0021196232259082038,101970.62177791579,101970.62177791579,0.01970621777915782,0.01970621777915782
2020-08-14,0.0010165139435211687,0.0010165139435211689,102074.27633678257,102074.27633678257,0.020742763367825656,0.020742763367825656
2020-08-17,4.311774915907089e-05,4.311774915907063e-05,102078.67754982525,102078.67754982525,0.020786775498252474,0.020786775498252474
2020-08-18,-0.000287227431810856,-0.0002872274318108559,102049.35775342995,102049.35775342995,0.02049357753429959,0.02049357753429959
2020-08-19,-0.00334151094268524,-0.003341510942685241,101708.35870780288,101708.35870780288,0.017083587078028817,0.017083587078028817
2020-08-20,-0.002576381783181634,-0.002576381783181635,101446.3191452308,101446.3191452308,0.0144631914523079,0.0144631914523079
2020-08-21,-0.0006222362617945423,-0.0006222362617945421,101383.19556683303,101383.19556683303,0.013831955668330398,0.013831955668330398
2020-08-24,0.008112866789474206,0.011619632836531715,102205.70392715797,102561.23107511393,0.02205703927157976,0.025612310751139233
2020-08-25,0.0022554907657801795,0.0022554907657801825,102436.22794857575,102792.5569847309,0.02436227948575742,0.027925569847308873
2020-08-26,0.0006770748402222699,0.0006770748402222704,102505.584941247,102862.15523882736,0.025055849412469966,0.028621552388273575
2020-08-27,0.006316792885255535,0.004796955899244933,103153.09149090282,103355.58046120929,0.03153091490902815,0.033555804612092954
2020-08-28,0.005926977132433391,0.005926977132433392,103764.47750530919,103968.16662311225,0.03764477505309194,0.03968166623112257
2020-08-31,-0.004719922146346436,-0.004719922146346437,103274.71724992782,103477.4449709528,0.032747172499278276,0.03477444970952792
2020-09-01,0.005867491315701144,0.005867491315701147,103880.68075652326,104084.59798069079,0.03880680756523258,0.04084597980690785
2020-09-02,0.015366216438622175,0.015366216438622175,105476.9337808194,105683.98444118905,0.05476933780819393,0.056839844411890494
2020-09-03,-0.025786802673495385,-0.025786802673495375,102757.02090280804,102958.73238865533,0.027570209028080495,0.029587323886553385
2020-09-04,-0.0028570620506935553,-0.0028570620506935553,102463.43771794431,102664.5729015602,0.024634377179443057,0.026645729015601916
2020-09-08,-0.022810541038079623,-0.022810541038079626,100126.19126697641,100322.73844823222,0.0012619126697641647,0.003227384482322293
2020-09-09,0.01560116528311298,0.015601165283112985,101688.27652610111,101887.8900724176,0.016882765261011068,0.018878900724176084
2020-09-10,-0.017662546434050602,-0.015721835042839874,99892.20262016027,100286.02547183605,-0.001077973798397247,0.0028602547183604887
2020-09-11,0.0011726964947550024,0.0014069681885431717,100009.34585602628,100427.12471943034,9.345856026277133e-05,0.004271247194303385
2020-09-14,0.014363165728886967,0.013658289830186863,101445.79666499396,101798.78749566065,0.014457966649939591,0.017987874956606476
2020-09-15,0.0016642598673298943,0.0016642598673298947,101614.62883309282,101968.20713223254,0.016146288330928238,0.019682071322325356
2020-09-16,0.003563952485041298,0.0035639524850412997,101976.77854203909,102331.61697743667,0.019767785420390815,0.02331616977436668
2020-09-17,-0.006366950220472345,-0.0063669502204723475,101327.49746941778,101680.07666616088,0.013274974694177821,0.01680076666160879
2020-09-18,-0.008259258202072475,-0.008184680491511748,100490.60750484801,100847.85772629592,0.004906075048480174,0.008478577262959197
2020-09-21,-0.01616799336004378,-0.0161216090484408,98865.87602996286,99222.02799065979,-0.011341239700371375,-0.007779720093402109
2020-09-22,0.0073435227358934554,0.007574845516217895,99591.89983839293,99973.61952449489,-0.004081001616070723,-0.00026380475505105583
2020-09-23,-0.020732169693187846,-0.021252120281217618,97527.14367087641,97848.96813741163,-0.02472856329123596,-0.021510318625883706
2020-09-24,-0.000801340871256585,-0.000801340871256585,97448.99118459602,97770.55776003284,-0.02551008815403988,-0.02229442239967161
2020-09-25,0.014876620244931372,0.014876620244931376,98898.7028197009,99225.05321896396,-0.01101297180299099,-0.007749467810360344
2020-09-28,0.01819538120632587,0.018195381206325877,100698.20241831649,101030.49088750099,0.006982024183164848,0.010304908875009788
2020-09-29,-0.004127152517858202,-0.004127152517858203,100282.60557866193,100613.52264265418,0.0028260557866193192,0.00613522642654174
2020-09-30,0.00812605635172902,0.008126056351729022,101097.50768269235,101431.11379739434,0.010975076826923447,0.014311137973943344
2020-10-01,0.005277100774674631,0.0052771007746746324,101631.00941880234,101966.37600659067,0.016310094188023427,0.019663760065906644
2020-10-02,-0.0025963560350861993,-0.0025963560350862024,101367.13913414592,101701.63499087008,0.013671391341459227,0.017016349908700823
2020-10-05,0.016161012881776165,0.01638109615312259,103005.33477548166,103367.61925258531,0.030053347754816606,0.03367619252585308
